Respondent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,,,,,
1,Increasing pay,Full Time,3,Additional funding for Counselling,No,1,No,1,3,2,6,5,4,wages keep up with inflation,5,3,4,4,4,4,,0,4,Better lighting in the parking lot,4,More women in leadership positions,Yes,East,15,,,,,
2,Improve benefits,Full Time,1,Drug coverage,Yes,3,Yes,3,4,6,5,1,2,Keep up with inflation. I can't pay my bills.,4,1,1,3,1,2,Be able to work from home once a week,0,3,,4,,No,North,2,,,,,
3,Job security,Part Time,,,No,1,No,3,1,5,4,6,2,Additional hourly pay for onboarding,1,1,1,1,3,3,Give me more hours,0,3,,5,,No,North,,,,,,
4,Job security,Part Time,,,I don't know,4,No,3,2,5,4,6,1,Recognition pay for part time,5,3,3,5,4,2,more flexibility on work from home for part time,0,4,,4,,Yes,East,1,,,,,
5,Improve working conditions,Full Time,3,Wellness account,Yes,3,No,2,3,,4,5,1,,1,1,1,2,2,2,More control over how I do my work and where,0,2,Visible minorities are not given same project opportunities and over-time as others,2,Visible minorities are not given same project opportunities and over-time as others,Prefer not to answer,South,6,,,,,
6,Increasing pay,Part Time,,,No,2,No,2,1,5,3,6,4,Minimum number of hours for part time,1,1,1,1,4,4,More guaranteed hours each week,0,4,,4,,Yes,North,3,,,,,
7,Improve benefits,Full Time,5,Wellness account,Yes,4,Yes,4,3,5,1,6,2,More paid time off. More vacation days.,4,4,2,5,4,4,Closer parking,15,4,,4,,No,North,8,,,,,
8,Improve working conditions,Full Time,4,Wellness account,I don't know,2,Yes,4,3,5,2,6,1,Increase recognition pay and provide performance bonuses,4,2,2,5,3,3,Provide childcare on site,5,4,Better training for emergency response such as where to go during a tornado,3,Celebration of holidays of multiple religions and cultures,No,East,4,,,,,
9,Improve benefits,Part Time,,,I don't know,2,No,3,2,5,3,6,1,performance bonuses,4,3,2,4,2,3,provide childcare or provide more flexibility as to when I work so that I can work around childcare,0,5,,5,,No,East,1,,,,,
10,Improve working conditions,Full Time,2,Drug coverage,Yes,3,No,4,1,5,3,6,2,More vacation days,4,1,1,4,3,3,not all areas of the campus are wheelchair accessible,0,1,ramps for wheelchairs. sometimes I have to go all the way around the building to get in the one door with a wheelchair ramp.,1,ramps for wheelchairs. sometimes I have to go all the way around the building to get in the one door with a wheelchair ramp.,Yes,South,5,,,,,
11,Increasing pay,Full Time,4,Wellness account,No,2,No,6,5,4,2,3,1,additional pay for those willing to work the night shift,1,2,3,3,2,4,provide bonus pay to those working the night shift,8,4,designated safety officer for night shift,3,,Yes,East,4,,,,,
12,Improve benefits,Full Time,2,greater coverage of orthodontics for family members,Yes,4,Yes,1,3,5,2,6,4,more paid days off for family issues,2,2,2,4,4,4,provide childcare,0,4,increase ventilation in offices,4,,No,North,10,,,,,
13,Improve working conditions,Full Time,4,Massage,Yes,4,Yes,1,2,5,4,6,3,raise,2,2,2,4,4,4,provide up to date technology so that I can do my job. My computer is ten years old and very slow.,0,4,clean office space more frequently,4,,No,North,11,,,,,
14,Increasing pay,Full Time,2,Drug coverage,No,1,No,3,2,6,6,6,1,ability to top up retirement contributions,2,4,2,2,4,4,more opportunities for overtime,5,4,,2,who gets overtime is not fairly determined,No,South,4,,,,,
15,Improve working conditions,Full Time,2,Dental,Yes,3,No,5,3,2,5,6,1,Paid time off for when kids are sick or have special events.,1,1,1,5,2,5,Greater flexibility in work hours. Able to work a 4 day work week.,0,4,,2,offer flexible work arrangements for employees with different needs,No,East,6,,,,,
16,Increasing pay,Full Time,3,Health spending account,No,1,No,6,2,6,3,6,1,Funding and time off work for leadership training,4,4,1,5,5,4,More mentoring opportunities,0,3,increase accessibility from parking lot into the building,2,greater opportunities for people to move up into management,Yes,South,8,,,,,
17,Improve benefits,Full Time,2,Maternity Leave,Yes,4,Yes,3,2,4,5,6,1,performance bonuses,1,1,1,4,2,3,incentive pay for those who have to come in earlier than others,0,3,provide greater work-life balance so that less people burnout,4,,No,North,4,,,,,
18,Improve benefits,Full Time,3,maternity leave top up pay,No,3,,4,2,5,3,6,1,provide top up pay for people on maternity leave,1,2,1,4,2,3,ability to work 4 day work week,0,4,,2,not accommodating to needs of parents with young children and people who are pregnant,No,East,3,,,,,
19,Increasing pay,Full Time,4,Wellness account,No,2,No,1,2,5,4,6,3,cost of living increase. performance pay.,2,3,1,4,4,2,"leadership training opportunities, able to work at campus closer to where I live",12,4,,2,"need opportunities to move up within the company, train internal people, rather than just bringing in external management",No,East,7,,,,,
20,Improve working conditions,Full Time,4,Wellness account,No,2,No,3,2,6,6,6,1,bonuses for departments that out perform,1,1,1,4,1,2,"My boss is an ass who makes us all come in an hour before other departments. When I asked to transfer locations, my request was denied.",0,2,don't hire bullies,3,,No,South,3,,,,,
